Title,Latitude,Longitude,State,Franchisee,Phone,ETA,Updated
3358,40.666971,-74.118807,NJ,"Ebrahim, Samer S.",(201) 858-3030,,2022-12-24 06:59:49
3359,39.452176,-74.727891,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 757-1000,13-28,2022-12-24 06:59:20
3378,40.775365,-74.165765,NJ,"Khan, Mohammad S.",(973) 475-8700,12-22,2022-12-24 06:59:21
3379,40.72194,-74.04717,NJ,"Khan, Mohammad S.",(201) 333-3322,15-30,2022-12-24 06:59:21
3384,40.71975,-74.078923,NJ,"Dunn, Clifton William",(201) 536-3030,19-29,2022-12-24 06:59:21
3386,40.869045,-74.133541,NJ,"Khan, Mohammad S.",(862) 234-2323,12-22,2022-12-24 06:59:20
3387,40.317654,-74.620011,NJ,"Khan, Muhammad Ratib",(609) 897-0888,17-27,2022-12-24 06:59:21
3392,40.619345,-74.49603,NJ,"Sheikh, Aziz A.",(908) 755-5757,16-31,2022-12-24 06:59:21
3393,40.014165,-74.321898,NJ,"Talwar, Subhash C.",(732) 657-7500,13-23,2022-12-24 06:59:21
3394,40.4612,-74.361,NJ,"Zaidi, Syed S.",(732) 613-4200,17-27,2022-12-24 06:59:21
3395,40.849595,-74.228451,NJ,"Martinez, Wellington",(973) 521-5547,12-22,2022-12-24 06:59:21
3652,40.648954,-74.344645,NJ,"Yaqoob, Waqas",(908) 889-1818,20-30,2022-12-24 06:59:29
3900,39.8152,-75.2578,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 224-8700,15-25,2022-12-24 06:59:38
3909,40.681592,-74.44743,NJ,"Patel, Nehal M.",(908) 898-0009,20-30,2022-12-24 06:59:38
3916,41.160161,-74.579567,NJ,"Ansari, Massoud",(973) 823-9111,20-30,2022-12-24 06:59:38
3917,39.939842,-75.119435,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 225-0400,15-25,2022-12-24 06:59:39
3918,39.567478,-74.369935,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 296-2900,10-25,2022-12-24 06:59:39
3925,40.7335,-74.0584,NJ,"Khan, Shafiq A.",(201) 721-6338,16-26,2022-12-24 06:59:39
3932,40.9559,-74.1817,NJ,"Martinez, Wellington",(973) 427-0039,15-15,2022-12-24 06:59:39
3940,39.75809,-74.24621,NJ,"Parmer, Jason M.",(609) 978-1333,25-34,2022-12-24 06:59:39
3941,41.037042,-74.700378,NJ,"Ansari, Massoud",(973) 579-3373,20-30,2022-12-24 06:59:39
3942,39.086099,-74.819801,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 465-9090,20-35,2022-12-24 06:59:39
3943,39.7654,-74.892,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 768-5522,15-25,2022-12-24 06:59:39
3944,40.83653,-74.11416,NJ,"Khan, Mohammad S.",(201) 933-7900,15-25,2022-12-24 06:59:41
3946,40.104182,-74.38932,NJ,"Joarder, Mohammed Shamsuzzaman",0,20-30,2022-12-24 06:59:39
3948,40.80418,-74.366436,NJ,"Atar, Murat",(973) 428-9400,15-30,2022-12-24 06:59:40
3955,40.201436,-74.027594,NJ,"Khan, Mohammad S.",(732) 776-8887,14-24,2022-12-24 06:59:40
3956,40.8182,-73.9934,NJ,"Khan, Mohammad S.",(201) 945-3700,11-21,2022-12-24 06:59:40
3957,39.6872,-74.991,NJ,"Joarder, Mohammed Shamsuzzaman",(856) 728-5533,15-25,2022-12-24 06:59:40
3958,40.808791,-74.166213,NJ,"Khokhar, Mohammad I.",(973) 667-2222,20-30,2022-12-24 06:59:40
3959,40.9105,-74.0734,NJ,"Khan, Mohammad S.",(201) 587-9111,12-22,2022-12-24 06:59:44
3960,40.921967,-74.268633,NJ,"Martinez, Wellington",(973) 694-0042,15-25,2022-12-24 06:59:40
3961,40.707511,-74.208813,NJ,"Khan, Mohammad S.",(973) 926-6000,15-25,2022-12-24 06:59:40
3963,40.9154,-74.1729,NJ,"Dunn, Clifton William",(973) 345-3030,20-30,2022-12-24 06:59:40
3965,40.260333,-74.549739,NJ,"Joarder, Mohammed Shamsuzzaman",(609) 443-0888,15-25,2022-12-24 06:59:40
3967,40.326316,-74.797705,NJ,"Mechael, Sameh M.",(609) 281-8000,20-30,2022-12-24 06:59:40
3968,40.1459,-74.226,NJ,"Joarder, Mohammed Shamsuzzaman",(732) 901-7300,20-30,2022-12-24 06:59:40
3969,40.9947,-74.3502,NJ,"Martinez, Wellington",(973) 492-9300,25-33,2022-12-24 06:59:40
3970,40.44131,-74.42396,NJ,"Vahidi, Hadi",(732) 238-6500,17-27,2022-12-24 06:59:40
3971,40.227872,-74.669272,NJ,"Mechael, Sameh M.",(609) 208-0600,20-30,2022-12-24 06:59:40
3972,41.0574,-74.1391,NJ,"Tanoli, Rashid",(201) 934-1234,11-21,2022-12-24 06:59:40
3973,40.33175,-74.306474,NJ,"Kamalinejad, Aydin",(732) 972-3737,15-25,2022-12-24 06:59:40
3974,40.409842,-74.039994,NJ,"Khan, Mohammad S.",(732) 872-2800,13-23,2022-12-24 06:59:40
3975,40.8805,-74.7315,NJ,"Zaidi, Syed Akhtar",(973) 691-8900,20-30,2022-12-24 06:59:41
3976,40.7266,-74.151,NJ,"Joarder, Mohammed Shamsuzzaman",(973) 344-3033,13-23,2022-12-24 06:59:41
