StoreID,Latitude,Longitude,City,State,Franchisee,Phone,IsOpen,StoreAsOfTime,EstimatedWaitMinutes
1380,36.9326,-86.4164,Bowling Green,KY,"Seagle, Joseph M.",(270) 781-1000,False,2023-01-07 06:56:13,15-25
6034,38.3556,-77.5115,Fredericksburg,VA,"Biggar, Shawn R.",(540) 374-1515,False,2023-01-07 08:03:48,20-30
2000,46.7205,-92.0952,Superior,WI,"Green, Troy A.",(715) 394-7777,False,2023-01-07 07:01:31,20-30
1378,36.7532,-86.1891,Scottsville,KY,"Carrigan, Benjamin Eli",(270) 237-5555,False,2023-01-07 06:56:13,15-25
6033,36.71021,-78.10676,SOUTH HILL,VA,"Rea, Michael S.",(434) 447-7700,False,2023-01-07 08:03:48,30-40
1997,45.38994,-92.844716,Lindstrom,MN,"Krueger, Joel G.",(651) 257-2002,False,2023-01-07 07:01:31,20-20
1377,37.5495,-84.6727,Stanford,KY,"Short, Christopher J.",(606) 365-1818,False,2023-01-07 07:56:13,20-30
6032,38.25385,-76.977938,Colonial Beach,VA,"Palmeri, Christina S.",(804) 224-2334,False,2023-01-07 08:03:48,20-30
1995,46.357233,-94.216803,Brainerd,MN,"Johnson, Corey L.",(218) 828-5066,False,2023-01-07 07:01:31,20-30
1376,38.0228,-84.9117,Lawrenceburg,KY,"Reisch, Christian J.",(502) 839-8800,False,2023-01-07 07:56:13,10-20
6031,41.5159,-109.471,Green River,WY,"Riddle, Charles M.",(307) 875-2020,False,2023-01-07 06:03:48,14-24
1994,47.219301,-93.527643,Grand Rapids,MN,"Carlson, Duane L. Jr.",(218) 326-9444,False,2023-01-07 07:01:31,20-30
1375,39.0193,-84.6941,Burlington,KY,"Glass, John B.",(859) 586-0444,False,2023-01-07 07:56:13,15-25
6030,41.596442,-109.240321,Rock Springs,WY,"Riddle, Charles M.",(307) 362-4242,False,2023-01-07 06:03:48,25-35
1993,44.6908,-93.2829,Lakeville,MN,"Peterson, Wayne A.",(952) 892-1212,False,2023-01-07 07:01:31,20-30
1374,38.072091,-85.669461,Hillview,KY,"Harding, Michael",(502) 955-4444,False,2023-01-07 07:56:13,20-30
6029,38.7592,-76.8084,Upper Marlboro,MD,"Carter, Malcolm",(301) 599-4100,False,2023-01-07 08:03:48,13-18
1992,45.9765,-94.361,Little Falls,MN,"Cole, Shane A.",(320) 632-2371,False,2023-01-07 07:01:31,30-40
1373,38.202,-84.8322,Frankfort,KY,"Reisch, Christian J.",(502) 695-1558,False,2023-01-07 07:56:13,12-22
6026,39.684654,-77.718158,Hagerstown,MD,"Clise, Michael W.",(301) 766-9030,False,2023-01-07 08:03:48,15-25
1991,44.8908,-94.3689,Hutchinsonn,MN,"Wendolek, Pete J.",(320) 587-7070,False,2023-01-07 07:01:31,13-23
1371,37.42154,-86.87953,Beaver Dam,KY,"Harding, Michael",(270) 422-4230,False,2023-01-07 06:56:12,15-25
6024,39.22238,-76.06974,Chestertown,MD,"Koscielniak, Amy D.",(410) 810-3811,False,2023-01-07 08:03:48,13-23
1990,45.119441,-95.04355,Willmar,MN,"Graves, Susan L.",(320) 235-3030,False,2023-01-07 07:01:31,20-35
1370,39.0766,-84.70556,Hebron,KY,"Harding, Michael",(270) 422-4230,False,2023-01-07 07:56:12,16-26
6020,41.309451,-105.574262,Laramie Wyoming,WY,"Feavel, Jay B.",(307) 742-0030,False,2023-01-07 06:03:48,28-38
