StoreID,Latitude,Longitude,Franchisee
8949,35.9215,-81.1834,"Patel, Himanshu B."
2006,42.71907,-87.84077,"Burton, Nathaniel P."
6034,38.3556,-77.5115,"Biggar, Shawn R."
2558,39.8311,-86.0369,"Mueller, Glenn A."
8948,36.281549,-80.14435,"Davis, Bradley C."
7862,34.188679,-119.176143,"Hishmeh, Tareq M."
2005,43.796658,-91.21957,"Burton, Erik J."
6033,36.71021,-78.10676,"Rea, Michael S."
2557,39.175002,-86.533193,"Harding, Michael"
8947,36.085265,-78.31735,"Crum, Bart H."
7861,34.2927,-119.298,"Hishmeh, Tareq M."
2003,42.556618,-87.825091,"Burton, Nathaniel P."
6032,38.25385,-76.977938,"Palmeri, Christina S."
2556,39.135172,-86.532639,"Harding, Michael"
8946,35.812043,-81.426578,"Patterson, G. Mack"
7860,34.176028,-119.210983,"Hishmeh, Tareq M."
2001,43.938634,-90.824885,"Burton, Erik J."
6031,41.5159,-109.471,"Riddle, Charles M."
2555,39.7787,-86.1611,"Mueller, Glenn A."
8945,33.91133,-78.11274,"Barber, John C."
7859,34.2416,-119.019,"Hishmeh, Tareq M."
2000,46.7205,-92.0952,"Green, Troy A."
6030,41.596442,-109.240321,"Riddle, Charles M."
2554,39.863547,-85.969467,"Mueller, Glenn A."
8944,34.272081,-77.817955,"Barber, John C."
7857,34.0101,-118.109,"Patibandla Rao, Malli"
1997,45.38994,-92.844716,"Krueger, Joel G."
6029,38.7592,-76.8084,"Carter, Malcolm"
2552,39.925634,-85.382693,"Schlater, Christopher"
8943,34.177054,-77.892021,"Barber, John C."
7856,34.06,-117.934,"Gibson, Bruce D."
1995,46.357233,-94.216803,"Johnson, Corey L."
6026,39.684654,-77.718158,"Clise, Michael W."
2551,39.829163,-84.852095,"Schlater, Christopher"
8941,34.4277,-77.5443,"Barber, John C."
7855,34.1071,-117.672,"Gibson, Bruce D."
1994,47.219301,-93.527643,"Carlson, Duane L. Jr."
6024,39.22238,-76.06974,"Koscielniak, Amy D."
2550,39.826608,-84.907551,"Schlater, Christopher"
8940,35.590502,-78.774817,"Farrior, Mark S."
7854,33.902313,-117.477717,"Mollaghasemi-Tabrizi, Gholamhossein"
1993,44.6908,-93.2829,"Peterson, Wayne A."
6020,41.309451,-105.574262,"Feavel, Jay B."
2549,38.860646,-86.489386,"Harding, Michael"
8938,35.794909,-78.504243,"Patterson, G. Mack"
7853,33.7752,-118.177,"Manos, Anthony P."
1992,45.9765,-94.361,"Cole, Shane A."
6019,41.788,-107.238,"Riddle, Charles M."
2548,39.7981,-86.26467,"Mueller, Glenn A."
8937,35.845532,-79.088774,"Rea, Michael S."
7852,33.8538,-117.563,"Hosseini, Adam Dariush"
1991,44.8908,-94.3689,"Wendolek, Pete J."
6018,37.977323,-78.211172,"Cobbs, Kenneth L. II"
2547,39.6051,-86.1957,"Mueller, Glenn A."
8936,36.073144,-79.294571,"Stokes, Clyde Page"
7851,33.943962,-117.454363,"Mollaghasemi-Tabrizi, Gholamhossein"
1990,45.119441,-95.04355,"Graves, Susan L."
6017,38.88715,-76.900233,"Carter, Malcolm"
2546,39.7119,-86.3719,"Mueller, Glenn A."
8935,35.796105,-78.380927,"Patterson, G. Mack"
7850,33.9724,-117.348,"Mollaghasemi-Tabrizi, Gholamhossein"
1989,45.2807,-92.9848,"Nordberg, David C."
6016,38.73255,-77.475094,"Carraway, Mary Lynne"
2545,39.221833,-86.605981,"Harding, Michael"
8934,35.259302,-81.255566,"Patterson, G. Mack"
7849,33.939356,-117.23333,"Miller, Ryan P."
1988,45.053797,-93.366851,"Graves, Susan L."
6015,38.390893,-78.965104,"Miller, Rebecca Lynn"
2544,39.631134,-86.114718,"Mueller, Glenn A."
8932,35.839346,-78.856714,"Brannan, Craig W."
7848,33.816608,-117.941956,"Hosseini, Dariush"
1987,46.721622,-92.450732,"Carlson, Duane L. Jr."
6014,37.25792,-76.740405,"Boyle, Scott M."
2543,40.0984,-85.654,"Mueller, Glenn A."
8931,34.375877,-77.702364,"Brannan, Craig W."
7845,33.951111,-118.011449,"Tapia, Fernando"
1986,46.8223,-92.0742,"Carlson, Duane L. Jr."
6013,37.276042,-79.097652,"Cobbs, Kenneth L. II"
2542,39.523,-85.7697,"Mueller, Glenn A."
8930,36.06299,-79.103314,"Patterson, G. Mack"
7844,33.870455,-117.960269,"Hosseini, Dariush"
1985,46.789483,-92.098461,"Carlson, Duane L. Jr."
6012,37.369413,-79.30186,"Cobbs, Kenneth L. II"
2541,39.4951,-86.065,"Mueller, Glenn A."
8929,34.758941,-77.483431,"Gage, Stanley J."
7843,33.93151,-117.946985,"Manos, Anthony P."
1984,47.420005,-92.922946,"Carlson, Duane L. Jr."
6010,41.262922,-110.957875,"Riddle, Charles M."
