store, eta, time
1040,23-28,2022-12-24 06:58:12
1010,13-23,2022-12-24 06:58:12
1014,30-40,2022-12-24 06:58:12
1077,14-24,2022-12-24 06:58:13
1022,12-22,2022-12-24 06:58:12
1012,12-22,2022-12-24 06:58:12
1035,30-40,2022-12-24 06:58:12
1068,20-30,2022-12-24 06:58:13
1046,20-30,2022-12-24 06:58:13
1065,15-25,2022-12-24 06:58:13
1034,19-29,2022-12-24 06:58:12
1005,12-22,2022-12-24 06:58:12
1016,30-40,2022-12-24 06:58:12
1008,15-30,2022-12-24 06:58:12
1059,20-30,2022-12-24 06:58:13
1081,30-40,2022-12-24 06:58:13
1070,15-25,2022-12-24 06:58:13
1028,15-25,2022-12-24 06:58:12
1025,12-22,2022-12-24 06:58:12
1079,20-30,2022-12-24 06:58:13
1050,20-30,2022-12-24 06:58:13
1078,20-30,2022-12-24 06:58:13
1041,40-50,2022-12-24 06:58:12
1071,14-24,2022-12-24 06:58:13
1085,12-22,2022-12-24 06:58:13
1090,14-24,2022-12-24 06:58:13
1098,20-30,2022-12-24 06:58:13
1054,15-25,2022-12-24 06:58:13
1100,18-33,2022-12-24 06:58:13
1094,14-24,2022-12-24 06:58:13
1101,15-25,2022-12-24 06:58:13
1107,15-30,2022-12-24 06:58:13
1108,20-30,2022-12-24 06:58:13
1114,20-30,2022-12-24 06:58:13
1031,45-50,2022-12-24 06:58:12
1117,15-25,2022-12-24 06:58:14
1110,20-30,2022-12-24 06:58:14
1102,16-31,2022-12-24 06:58:13
1109,15-30,2022-12-24 06:58:14
1119,20-35,2022-12-24 06:58:14
1134,14-24,2022-12-24 06:58:14
1128,14-24,2022-12-24 06:58:14
1133,20-30,2022-12-24 06:58:14
1118,16-31,2022-12-24 06:58:14
1074,15-25,2022-12-24 06:58:13
1036,25-35,2022-12-24 06:58:12
1043,15-25,2022-12-24 06:58:12
1139,20-30,2022-12-24 06:58:14
1138,20-30,2022-12-24 06:58:14
1143,20-30,2022-12-24 06:58:14
1132,20-30,2022-12-24 06:58:14
1140,20-35,2022-12-24 06:58:14
1144,,2022-12-24 06:58:43
1148,20-30,2022-12-24 06:58:15
1147,20-30,2022-12-24 06:58:13
1136,14-29,2022-12-24 06:58:14
1151,20-30,2022-12-24 06:58:14
1097,15-25,2022-12-24 06:58:13
1051,20-30,2022-12-24 06:58:12
1160,14-24,2022-12-24 06:58:15
1163,14-24,2022-12-24 06:58:15
1165,15-25,2022-12-24 06:58:15
1159,30-40,2022-12-24 06:58:15
