store,lat,lon
1005,42.575,-83.128927
1008,42.455853,-83.346415
1010,42.468774,-83.456935
1012,42.205578,-83.180831
1014,42.4059,-83.3348
1015,42.590145,-82.951383
1016,42.423138,-83.761781
1022,42.325881,-83.337809
1025,42.283439,-83.270511
1028,42.361946,-83.066836
1031,42.626303,-83.023984
1034,42.4395,-82.9079
1035,42.402495,-83.052896
1036,42.4232,-82.9854
1040,42.3077,-83.4765
1041,42.395657,-83.443344
1043,42.972028,-85.913662
1046,42.6822,-83.1329
1050,42.278787,-83.38543
1051,42.447492,-85.671863
1054,42.650376,-83.494255
1059,42.329356,-83.046318
1065,42.806327,-83.625009
1068,42.50705,-83.318417
1070,43.020961,-83.51656
1071,42.23345,-84.403764
1074,42.80723,-83.707131
1077,42.535053,-83.078967
1078,42.500058,-83.222601
1079,42.670131,-83.233325
1081,42.444381,-83.651475
1085,42.369254,-83.315445
1090,42.312956,-83.123051
1092,42.198747,-83.221789
1093,42.140543,-83.209347
1094,42.530718,-83.780911
1097,42.924151,-83.624369
1098,43.001646,-84.558826
1100,42.302482,-83.709537
1101,42.246,-83.6278
1102,42.28842,-83.843774
1107,42.1702,-83.7742
1108,42.2169,-83.5678
1109,42.253448,-83.752221
1110,42.3464,-83.3855
1114,41.8892,-84.0561
1117,42.2504,-83.6631
1118,42.270216,-83.740224
1119,42.731432,-84.469433
1128,42.628337,-83.874683
1132,42.553333,-82.959639
1133,42.906391,-85.607732
1134,42.675732,-82.749792
1136,42.644963,-82.89768
1138,42.944678,-85.667528
1139,42.479543,-82.964529
1140,42.497674,-82.897715
1141,42.533505,-83.502087
1143,45.837,-87.0372
1144,42.0105,-86.495
1147,43.03671,-85.6885
1148,43.145637,-85.710055
1149,43.039793,-83.321615
1151,42.9837,-83.6931
1159,42.992857,-83.732904
1160,42.9977,-84.1787
1161,43.018459,-83.636647
1163,42.560677,-82.870299
1165,47.120072,-88.555089
1166,46.494355,-84.35017
1167,42.675561,-84.547322
1169,42.446904,-83.087378
1170,42.81118,-83.251816
1175,43.117017,-85.550248
1178,46.454463,-90.168453
1180,43.034265,-85.620549
1182,42.477169,-83.042734
1183,42.639127,-83.36432
1184,42.547028,-83.437664
1185,42.698935,-83.035105
1187,42.263099,-83.186598
1188,42.490288,-83.12928
1189,42.459532,-83.184074
1190,42.255528,-83.260772
1191,43.688287,-85.48431
1193,42.71535,-84.60204
1194,42.75268,-84.747081
1196,43.622014,-83.913789
1201,42.734186,-84.493515
1202,42.723076,-83.428
1206,42.718347,-84.409406
1207,42.784671,-84.542065
1208,42.731398,-84.552554
1211,42.6427,-84.5177
1212,42.756273,-84.544693
1213,42.741454,-84.617062
1217,43.4367,-83.9759
1219,43.177438,-83.752747
1222,42.272536,-84.975293
1223,42.325609,-85.519499
1227,42.24929,-85.5597
1228,41.964764,-84.667798
1235,42.329932,-85.155107
1236,43.391304,-84.666343
1238,43.6232,-84.2272
1240,43.5979,-84.7675
1245,43.595807,-83.890531
1248,42.078809,-86.483985
1249,44.271738,-85.40695
9320,30.041349,-95.488318
9321,26.40206,-99.01308
9322,30.39304,-97.70693
9323,29.829305,-95.71915
9324,29.869145,-95.331846
9325,26.292181,-97.986191
9326,29.692564,-95.208982
9327,33.101026,-96.801805
9328,33.16881,-96.923663
9329,33.018881,-96.735281
9330,29.195928,-96.269327
9331,33.153722,-97.061111
9332,33.6747,-96.905502
9333,30.67182,-97.918018
9334,31.069551,-97.67103
9335,26.185714,-97.714988
9336,30.758012,-98.228885
9337,30.38841,-97.64993
9338,30.630412,-96.378899
9339,33.0475,-96.991944
9340,29.456794,-98.448206
9341,30.895873,-102.909974
9342,31.997528,-106.590177
9343,31.849575,-106.356453
9344,32.523844,-97.34807
9345,32.762983,-97.485201
9346,29.754492,-95.499351
9347,29.902633,-96.905947
9348,30.317279,-97.984631
9349,33.551798,-101.956103
9351,39.302469,-76.619322
9352,33.755293,-96.538161
9353,38.978838,-76.541709
9354,39.65409,-78.760613
9355,39.655608,-78.926228
9356,39.521349,-77.65959
9357,38.83186,-76.941693
9360,33.423392,-96.588912
9361,30.307784,-97.920868
9362,27.795914,-97.433801
9363,28.036332,-97.516213
9364,27.599471,-97.223033
9365,30.20013,-97.8685
9366,27.710391,-97.406583
9370,46.238316,-114.15449
9371,32.62811,-97.13506
9372,30.33659,-97.71822
9373,29.36574,-98.44078
9374,26.25441,-98.31849
9375,32.87793,-97.42649
